"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"zip/15201","","15201","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",86049,"Median Income for All Households"
"zip/15203","","15203","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",71299,"Median Income for All Households"
"zip/15206","","15206","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",69906,"Median Income for All Households"
"zip/15211","","15211","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",75522,"Median Income for All Households"
"zip/15213","","15213","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",31330,"Median Income for All Households"
"zip/15217","","15217","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",91695,"Median Income for All Households"
"zip/15219","","15219","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",32403,"Median Income for All Households"
"zip/15222","","15222","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",111926,"Median Income for All Households"
"zip/15224","","15224","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",65974,"Median Income for All Households"
"zip/15232","","15232","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",66139,"Median Income for All Households"
"zip/15233","","15233","Median_Income_Household","2023","CensusACS5YearSurvey","https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html","","USDollar","USD",71902,"Median Income for All Households"